,수위,총유입량,총방류량
33811,5.63,2896.54,2896.54
33812,5.63,2896.27,2896.27
33813,5.61,2804.929,2887.485
33814,5.58,2725.567,2849.4
33815,5.51,2507.789,2796.733
33816,5.45,2482.242,2716.853
33817,5.37,2327.061,2636.422
33818,5.25,2066.665,2530.665
33819,5.11,1874.709,2416.07
33820,5.03,2028.51,2337.871
33821,4.94,1837.642,2292.975
33822,4.87,1784.851,2180.74
33823,4.89,1891.859,1778.748
33824,4.97,2270.874,1818.43
33825,5.05,2240.749,1877.749
33826,5.11,2264.612,2032.584
33827,5.15,2248.566,2093.899
33828,5.16,2147.456,2108.789
33829,5.16,2111.826,2111.826
33830,5.17,2155.958,2117.291
33831,5.17,2121.637,2121.637
33832,5.16,2187.37,2226.037
33833,5.13,2142.225,2258.225
33834,5.11,2165.51,2242.843
33835,5.1,2200.313,2238.98
33836,5.1,2234.041,2234.041
33837,5.12,2317.011,2239.678
33838,5.14,2441.877,2364.544
33839,5.12,2327.098,2404.431
33840,5.12,2373.128,2373.128
33841,5.14,2453.195,2375.862
33842,5.21,2681.215,2410.548
33843,5.28,2735.996,2465.302
33844,5.35,2808.784,2538.117
33845,5.43,2928.187,2618.826
33846,5.49,2925.994,2693.994
33847,5.55,3007.513,2762.457
33848,5.6,3037.16,2830.771
33849,5.64,3048.925,2883.842
33850,5.68,3100.976,2935.865
33851,5.72,3147.097,2981.986
33852,5.76,3174.662,3009.551
33853,5.8,3198.955,3033.844
33854,5.85,3268.089,3061.728
33855,5.89,3256.159,3091.048
33856,5.94,3323.198,3116.809
33857,5.97,3264.433,3140.6
33858,6.01,3332.874,3163.818
33859,6.04,3336.145,3200.478
33860,6.06,3324.303,3233.859
33861,6.09,3398.946,3263.252
33862,6.1,3332.174,3286.952
33863,6.11,3348.517,3303.295
33864,6.12,3360.777,3315.555
33865,6.12,3319.366,3319.366
33866,6.12,3318.51,3318.51
33867,6.12,3320.358,3320.358
33868,6.08,3112.906,3293.795
33869,6.04,3066.795,3247.712
33870,6.0,3012.742,3193.631
33871,5.94,2902.708,3150.375
33872,5.88,2866.0,3113.667
33873,5.77,2609.224,3063.252
33874,5.6,2247.096,2948.79
33875,5.49,2337.16,2788.604
33876,5.39,2281.525,2668.192
33877,5.23,1918.001,2536.695
33878,5.06,1724.671,2382.06
33879,4.9,1510.892,2308.448
33880,4.74,1156.368,2061.257
33881,4.7,754.151,980.373
33882,4.75,1083.563,800.785
33883,4.83,1264.184,811.74
33884,4.91,1225.887,773.443
33885,4.99,1428.772,976.328
33886,5.01,1376.377,1281.155
33887,5.03,1209.491,1132.158
33888,5.05,1214.675,1137.342
33889,5.06,1181.007,1142.34
33890,5.06,1145.977,1145.977
33891,5.07,1187.272,1148.605
33892,5.07,1149.56,1149.56
33893,5.08,1190.651,1151.957
33894,5.08,1152.3,1152.3
33895,5.09,1192.749,1154.082
33896,5.09,1154.785,1154.785
33897,5.09,1155.437,1155.437
33898,5.08,1117.703,1156.37
33899,5.04,994.137,1148.831
33900,5.0,907.365,1062.032
33901,5.0,927.388,927.388
33902,5.0,930.263,930.263
33903,5.0,932.743,932.743
33904,5.0,934.577,934.577
33905,5.0,934.52,934.52
33906,5.0,934.02,934.02
33907,5.01,974.113,935.446
33908,5.02,975.862,937.195
33909,5.04,1015.738,938.405
33910,5.05,976.267,937.6
33911,5.05,938.363,938.363
33912,5.05,936.23,936.23
33913,5.05,934.17,934.17
33914,5.05,933.093,933.093
33915,5.03,852.127,929.46
33916,5.0,803.184,919.184
33917,4.99,853.909,910.465
33918,4.98,793.542,850.098
33919,4.98,831.152,831.152
33920,4.97,772.517,829.073
33921,4.97,871.289,871.289
33922,4.97,797.804,797.804
33923,4.97,799.354,799.354
33924,4.97,801.46,801.46
33925,4.97,805.852,805.852
33926,4.96,750.219,806.775
33927,4.96,807.743,807.743
33928,4.96,808.119,808.119
33929,4.96,808.862,808.862
33930,4.95,686.034,742.59
33931,4.93,453.82,566.931
33932,4.93,473.42,473.42
33933,4.92,326.038,382.594
33934,4.92,342.062,342.062
33935,4.95,424.58,254.913
33936,4.98,429.342,259.675
33937,5.01,417.225,265.447
