,일시,수위(EL.m)
356,2012-09-10 21시,5.28
357,2012-09-10 22시,5.28
358,2012-09-10 23시,5.28
359,2012-09-10 24시,5.29
360,2012-09-11 01시,5.25
361,2012-09-11 02시,5.28
362,2012-09-11 03시,5.34
363,2012-09-11 04시,5.4
364,2012-09-11 05시,5.45
365,2012-09-11 06시,5.48
366,2012-09-11 07시,5.5
367,2012-09-11 08시,5.4
368,2012-09-11 09시,5.23
369,2012-09-11 10시,5.11
370,2012-09-11 11시,5.12
371,2012-09-11 12시,5.14
372,2012-09-11 13시,5.19
373,2012-09-11 14시,5.33
374,2012-09-11 15시,5.38
375,2012-09-11 16시,5.45
376,2012-09-11 17시,5.45
377,2012-09-11 18시,5.43
378,2012-09-11 19시,5.41
379,2012-09-11 20시,5.33
380,2012-09-11 21시,5.25
381,2012-09-11 22시,5.16
382,2012-09-11 23시,5.16
383,2012-09-11 24시,5.15
384,2012-09-12 01시,5.12
385,2012-09-12 02시,5.1
386,2012-09-12 03시,5.1
387,2012-09-12 04시,5.08
388,2012-09-12 05시,5.07
389,2012-09-12 06시,5.06
390,2012-09-12 07시,5.05
391,2012-09-12 08시,5.08
392,2012-09-12 09시,5.1
393,2012-09-12 10시,5.02
394,2012-09-12 11시,4.99
395,2012-09-12 12시,4.99
396,2012-09-12 13시,4.98
397,2012-09-12 14시,4.95
398,2012-09-12 15시,4.96
399,2012-09-12 16시,4.98
400,2012-09-12 17시,4.98
401,2012-09-12 18시,4.98
402,2012-09-12 19시,5.02
403,2012-09-12 20시,5.1
404,2012-09-12 21시,5.15
405,2012-09-12 22시,5.15
406,2012-09-12 23시,5.18
407,2012-09-12 24시,5.25
408,2012-09-13 01시,5.3
409,2012-09-13 02시,5.33
410,2012-09-13 03시,5.35
411,2012-09-13 04시,5.37
412,2012-09-13 05시,5.39
413,2012-09-13 06시,5.4
414,2012-09-13 07시,5.41
415,2012-09-13 08시,5.41
416,2012-09-13 09시,5.4
417,2012-09-13 10시,5.3
418,2012-09-13 11시,5.27
419,2012-09-13 12시,5.25
420,2012-09-13 13시,5.21
421,2012-09-13 14시,5.21
422,2012-09-13 15시,5.21
423,2012-09-13 16시,5.21
424,2012-09-13 17시,5.24
425,2012-09-13 18시,5.29
426,2012-09-13 19시,5.31
427,2012-09-13 20시,5.36
428,2012-09-13 21시,5.38
429,2012-09-13 22시,5.39
430,2012-09-13 23시,5.39
431,2012-09-13 24시,5.39
432,2012-09-14 01시,5.39
433,2012-09-14 02시,5.38
434,2012-09-14 03시,5.36
435,2012-09-14 04시,5.35
436,2012-09-14 05시,5.34
437,2012-09-14 06시,5.28
438,2012-09-14 07시,5.18
439,2012-09-14 08시,5.07
440,2012-09-14 09시,5.0
441,2012-09-14 10시,4.99
442,2012-09-14 11시,4.99
443,2012-09-14 12시,4.97
444,2012-09-14 13시,4.97
445,2012-09-14 14시,5.01
446,2012-09-14 15시,5.03
447,2012-09-14 16시,5.04
448,2012-09-14 17시,5.09
449,2012-09-14 18시,5.11
450,2012-09-14 19시,5.12
451,2012-09-14 20시,5.14
452,2012-09-14 21시,5.16
453,2012-09-14 22시,5.19
454,2012-09-14 23시,5.21
455,2012-09-14 24시,5.16
456,2012-09-15 01시,5.13
457,2012-09-15 02시,5.19
458,2012-09-15 03시,5.26
459,2012-09-15 04시,5.34
460,2012-09-15 05시,5.42
461,2012-09-15 06시,5.53
462,2012-09-15 07시,5.59
463,2012-09-15 08시,5.63
464,2012-09-15 09시,5.61
465,2012-09-15 10시,5.47
466,2012-09-15 11시,5.46
467,2012-09-15 12시,5.4
468,2012-09-15 13시,5.32
469,2012-09-15 14시,5.24
470,2012-09-15 15시,5.19
471,2012-09-15 16시,5.13
472,2012-09-15 17시,5.1
473,2012-09-15 18시,5.07
474,2012-09-15 19시,5.05
475,2012-09-15 20시,5.03
476,2012-09-15 21시,5.01
477,2012-09-15 22시,5.0
478,2012-09-15 23시,5.08
479,2012-09-15 24시,5.1
480,2012-09-16 01시,5.1
481,2012-09-16 02시,5.1
482,2012-09-16 03시,5.1
483,2012-09-16 04시,5.1
484,2012-09-16 05시,5.1
485,2012-09-16 06시,5.11
486,2012-09-16 07시,5.11
487,2012-09-16 08시,5.12
488,2012-09-16 09시,5.12
489,2012-09-16 10시,5.09
490,2012-09-16 11시,4.97
491,2012-09-16 12시,4.86
492,2012-09-16 13시,4.85
493,2012-09-16 14시,4.94
494,2012-09-16 15시,5.04
495,2012-09-16 16시,5.22
496,2012-09-16 17시,5.4
497,2012-09-16 18시,5.6
498,2012-09-16 19시,5.71
499,2012-09-16 20시,5.8
500,2012-09-16 21시,5.88
501,2012-09-16 22시,5.88
502,2012-09-16 23시,5.92
503,2012-09-16 24시,6.0
504,2012-09-17 01시,6.08
505,2012-09-17 02시,6.15
506,2012-09-17 03시,6.23
507,2012-09-17 04시,6.29
508,2012-09-17 05시,6.34
509,2012-09-17 06시,6.4
510,2012-09-17 07시,6.47
511,2012-09-17 08시,6.573
512,2012-09-17 09시,6.699
