Unnamed: 0,수위,총유입량,총방류량
61946,4.89,246.888,190.332
61947,4.9,260.709,204.153
61948,4.9,208.087,208.087
61949,4.91,266.094,209.538
61950,4.91,211.39,211.39
61951,4.92,309.859,253.303
61952,4.92,322.588,322.588
61953,4.92,321.387,321.387
61954,4.91,256.387,312.943
61955,4.9,256.624,313.18
61956,4.89,254.092,310.648
61957,4.89,306.517,306.517
61958,4.89,305.542,305.542
61959,4.89,305.688,305.688
61960,4.89,309.057,309.057
61961,4.89,312.188,312.188
61962,4.9,519.112,462.556
61963,4.87,478.707,648.374
61964,4.85,690.417,803.528
61965,4.84,924.026,980.582
61966,4.84,1086.97,1086.97
61967,4.85,1328.683,1272.127
61968,4.85,1678.895,1678.895
61969,4.81,1474.443,1700.665
61970,4.78,1405.571,1575.238
61971,4.77,1368.001,1424.557
61972,4.76,1333.646,1390.202
61973,4.76,1245.977,1245.977
61974,4.78,1371.123,1258.012
61975,4.82,1522.855,1296.633
61976,4.87,1702.703,1419.925
61977,4.88,1860.969,1804.413
61978,4.83,1628.924,1911.702
61979,4.89,2167.366,1828.033
61980,4.89,2150.865,2150.865
61981,4.84,1932.565,2215.343
61982,4.82,2096.509,2209.62
61983,4.85,2400.117,2230.45
61984,4.9,2742.486,2459.708
61985,4.96,2849.9,2510.567
61986,5.07,4095.232,3598.343
61987,5.25,4338.448,3642.392
61988,5.44,4578.69,3843.996
61989,5.61,4735.165,4049.109
61990,5.75,4770.724,4192.863
61991,5.87,4737.641,4242.335
61992,5.96,4629.112,4257.612
61993,6.05,4646.394,4255.172
61994,6.15,4802.154,4349.876
61995,6.24,4869.176,4462.148
61996,6.32,4857.319,4495.513
61997,6.38,4790.881,4519.52
61998,6.42,4718.516,4537.627
61999,6.47,4780.99,4554.851
62000,6.49,4657.474,4567.03
62001,6.51,4668.719,4578.247
62002,6.52,4621.321,4576.099
62003,6.53,4622.038,4576.816
62004,6.53,4479.273,4479.273
62005,6.51,3826.679,3917.123
62006,6.48,3745.022,3880.716
62007,6.45,3694.045,3829.712
62008,6.41,3594.542,3775.459
