Unnamed: 0,수산대교(창원)_수위,여의리(의령군)_수위,의령군(정암교)_수위,함안군(서출리)_수위,합천군(적포교)_수위,date,time
42831,0.0560190703218116,0.1688084112149532,0.0677339901477832,0.1636546184738955,0.1696938245978204,2017-07-16,16
42832,0.0619785458879618,0.1723130841121495,0.0665024630541872,0.1666666666666666,0.1842241826673585,2017-07-16,17
42833,0.0572109654350417,0.1764018691588785,0.0652709359605911,0.1586345381526104,0.2018681888946549,2017-07-16,18
42834,0.0655542312276519,0.1921728971962616,0.064039408866995,0.1636546184738955,0.2189932537623248,2017-07-16,19
42835,0.067938021454112,0.2067757009345794,0.0615763546798029,0.1636546184738955,0.227815256875973,2017-07-16,20
42836,0.0631704410011918,0.2143691588785046,0.0591133004926108,0.1636546184738955,0.2413077322262584,2017-07-16,21
42837,0.0595947556615017,0.2336448598130841,0.0578817733990147,0.1686746987951807,0.2553191489361702,2017-07-16,22
42838,0.0572109654350417,0.2435747663551402,0.0554187192118226,0.182730923694779,0.2620653866113129,2017-07-16,23
42839,0.0595947556615017,0.2505841121495327,0.0529556650246305,0.1947791164658634,0.2667358588479501,2017-07-17,0
42840,0.0750893921334922,0.2558411214953271,0.0504926108374384,0.2028112449799196,0.2698495070057083,2017-07-17,1
42841,0.0858164481525625,0.2581775700934579,0.0492610837438423,0.1987951807228915,0.2729631551634665,2017-07-17,2
42842,0.0870083432657926,0.2552570093457944,0.0480295566502463,0.1977911646586345,0.2610275038920602,2017-07-17,3
42843,0.0858164481525625,0.2371495327102804,0.0480295566502463,0.2138554216867469,0.2324857291126102,2017-07-17,4
42844,0.101311084624553,0.2102803738317757,0.0480295566502463,0.2218875502008032,0.1992734820965231,2017-07-17,5
42845,0.1060786650774731,0.1892523364485981,0.0492610837438423,0.1967871485943775,0.1717695900363259,2017-07-17,6
42846,0.0798569725864123,0.1734813084112149,0.0504926108374384,0.1676706827309236,0.1530877010897768,2017-07-17,7
42847,0.0536352800953515,0.1676401869158878,0.0529556650246305,0.1576305220883533,0.1681370005189413,2017-07-17,8
42848,0.0333730631704409,0.169392523364486,0.0554187192118226,0.1495983935742971,0.1759211209133367,2017-07-17,9
42849,0.0131108462455303,0.1723130841121495,0.0578817733990147,0.1626506024096385,0.1821484172288531,2017-07-17,10
42850,0.0,0.1810747663551402,0.0591133004926108,0.1767068273092369,0.1971977166580176,2017-07-17,11
42851,0.0143027413587604,0.1910046728971962,0.0603448275862069,0.1867469879518072,0.203425012973534,2017-07-17,12
42852,0.0214541120381406,0.1945093457943925,0.0615763546798029,0.1857429718875501,0.2003113648157758,2017-07-17,13
42853,0.0321811680572109,0.1915887850467289,0.0615763546798029,0.1897590361445782,0.1956408925791385,2017-07-17,14
42854,0.0405244338498212,0.1892523364485981,0.0615763546798029,0.1867469879518072,0.1914893617021276,2017-07-17,15
42855,0.0476758045292014,0.1857476635514018,0.0615763546798029,0.180722891566265,0.1878567721847431,2017-07-17,16
42856,0.0560190703218116,0.183411214953271,0.0603448275862069,0.1757028112449798,0.1852620653866113,2017-07-17,17
42857,0.069129916567342,0.1816588785046729,0.0591133004926108,0.1726907630522088,0.1826673585884795,2017-07-17,18
42858,0.0643623361144219,0.1787383177570093,0.0591133004926108,0.1686746987951807,0.1779968863518422,2017-07-17,19
42859,0.0548271752085816,0.1758177570093458,0.0578817733990147,0.1656626506024096,0.1764400622729631,2017-07-17,20
42860,0.0476758045292014,0.1740654205607476,0.0566502463054187,0.1656626506024096,0.1754021795537104,2017-07-17,21
42861,0.0500595947556615,0.1740654205607476,0.0554187192118226,0.1656626506024096,0.1754021795537104,2017-07-17,22
42862,0.0452920143027413,0.1734813084112149,0.0529556650246305,0.1646586345381525,0.174883238194084,2017-07-17,23
42863,0.0417163289630512,0.1723130841121495,0.0517241379310344,0.1656626506024096,0.1707317073170731,2017-07-18,0
42864,0.0417163289630512,0.1705607476635514,0.0504926108374384,0.1656626506024096,0.1686559418785677,2017-07-18,1
42865,0.0441001191895113,0.169392523364486,0.0492610837438423,0.1626506024096385,0.1681370005189413,2017-07-18,2
42866,0.0417163289630512,0.1688084112149532,0.0480295566502463,0.1616465863453815,0.1670991177996886,2017-07-18,3
42867,0.0429082240762812,0.1688084112149532,0.0467980295566502,0.1656626506024096,0.1707317073170731,2017-07-18,4
42868,0.0441001191895113,0.169392523364486,0.0480295566502463,0.1656626506024096,0.1738453554748313,2017-07-18,5
42869,0.0441001191895113,0.1705607476635514,0.0492610837438423,0.1676706827309236,0.174883238194084,2017-07-18,6
42870,0.0417163289630512,0.1717289719626168,0.0517241379310344,0.1716867469879517,0.174883238194084,2017-07-18,7
42871,0.0441001191895113,0.1728971962616822,0.0529556650246305,0.1726907630522088,0.1754021795537104,2017-07-18,8
42872,0.0417163289630512,0.1705607476635514,0.0566502463054187,0.1666666666666666,0.1670991177996886,2017-07-18,9
42873,0.0417163289630512,0.1682242990654205,0.0591133004926108,0.1616465863453815,0.1645044110015568,2017-07-18,10
42874,0.034564958283671,0.165303738317757,0.062807881773399,0.1556224899598393,0.1587960560456668,2017-07-18,11
42875,0.0321811680572109,0.1635514018691589,0.0652709359605911,0.1596385542168674,0.1603528801245459,2017-07-18,12
42876,0.035756853396901,0.1635514018691589,0.0665024630541872,0.1586345381526104,0.1634665282823041,2017-07-18,13
42877,0.0441001191895113,0.1647196261682243,0.0677339901477832,0.1566265060240963,0.1686559418785677,2017-07-18,14
42878,0.0488676996424314,0.1658878504672897,0.0677339901477832,0.1646586345381525,0.1650233523611831,2017-07-18,15
42879,0.0464839094159713,0.165303738317757,0.0677339901477832,0.1656626506024096,0.1634665282823041,2017-07-18,16
42880,0.0441001191895113,0.165303738317757,0.0665024630541872,0.1626506024096385,0.1608718214841722,2017-07-18,17
42881,0.0464839094159713,0.1641355140186916,0.0652709359605911,0.1626506024096385,0.1645044110015568,2017-07-18,18
42882,0.0452920143027413,0.1641355140186916,0.064039408866995,0.1586345381526104,0.1639854696419304,2017-07-18,19
42883,0.0429082240762812,0.1647196261682243,0.062807881773399,0.1596385542168674,0.1650233523611831,2017-07-18,20
42884,0.0452920143027413,0.165303738317757,0.0615763546798029,0.1636546184738955,0.167618059159315,2017-07-18,21
42885,0.0452920143027413,0.1670560747663551,0.0591133004926108,0.1656626506024096,0.169174883238194,2017-07-18,22
42886,0.0476758045292014,0.1682242990654205,0.0578817733990147,0.1666666666666666,0.169174883238194,2017-07-18,23
42887,0.0476758045292014,0.1688084112149532,0.0554187192118226,0.1666666666666666,0.1702127659574468,2017-07-19,0
42888,0.0488676996424314,0.1688084112149532,0.0541871921182266,0.1676706827309236,0.1702127659574468,2017-07-19,1
42889,0.0488676996424314,0.169392523364486,0.0517241379310344,0.1686746987951807,0.1681370005189413,2017-07-19,2
42890,0.0500595947556615,0.169392523364486,0.0492610837438423,0.1686746987951807,0.167618059159315,2017-07-19,3
42891,0.0512514898688915,0.1688084112149532,0.0480295566502463,0.1676706827309236,0.1650233523611831,2017-07-19,4
42892,0.0524433849821215,0.1670560747663551,0.0455665024630541,0.1666666666666666,0.1634665282823041,2017-07-19,5
